lm_id,name
LMSP03020018,CerPE(d15:1(4E)/24:0)
LMSP03020025,CerPE(d16:1(4E)/23:0)
LMSP03020006,CerPE(d14:1(4E)/20:1(11Z))
LMSP03020024,CerPE(d16:1(4E)/22:0)
LMSP03020027,CerPE(d16:1(4E)/22:1(13Z))
LMSP03020044,"CerPE(d15:2(4E,6E)/20:0)"
LMSP03020060,CerPE(d14:1(4E)/20:0(2OH))
LMPR0103740002,pentalenene
LMSL03000214,"PAT16(24:1(2E)(2Me,4Me[S],6Me[S])/25:1(2E)(2Me,4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S])/25:1(2E)(2Me,4Me[S],6Me[S]))"
LMSP03020031,"CerPE(d14:2(4E,6E)/18:1(9Z))"
LMSP03020051,"CerPE(d16:2(4E,6E)/20:1(11Z))"
LMSP03020069,"CerPE(d14:2(4E,6E)/20:1(11Z)(2OH))"
LMSP03020084,CerPE(d16:1(4E)/22:0(2OH))
LMPK12111083,Baicalein 6-glucuronide
LMSP03020011,CerPE(d14:1(4E)/24:0)
LMSP03020033,"CerPE(d14:2(4E,6E)/20:1(11Z))"
LMSP03020061,CerPE(d14:1(4E)/20:1(11Z)(2OH))
LMSP03020075,CerPE(d15:1(4E)/22:0(2OH))
LMSP03020016,CerPE(d15:1(4E)/20:0)
LMSP03020043,"CerPE(d15:2(4E,6E)/18:0)"
LMSP03020001,CerPE(d14:1(4E)/18:0)
LMPK12112465,"Myricetin 3-(2'',3''-digalloylrhamnoside)"
LMPK12112213,Quercetin 3-(3''-acetylrhamnoside)
LMPK12111026,Embigenin
LMSL03000145,"PAT16(22:1(2E)(2Me,4Me[S],6Me[S])/24:0(2Me[R],3OH[R],4Me[S],6Me[S])/24:0(2Me[R],3OH[R],4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S]))"
LMSP0601DY00,sialyl(2-6)lactotetraosylceramide
LMSP03020037,"CerPE(d14:2(4E,6E)/24:1(15Z))"
LMSP03020042,"CerPE(d14:2(4E,6E)/25:0)"
LMSP03020063,CerPE(d14:1(4E)/22:1(13Z)(2OH))
LMSP03020080,CerPE(d16:1(4E)/18:0(2OH))
LMSP03020088,"CerPE(d16:2(4E,6E)/18:0(2OH))"
LMSP03020005,CerPE(d14:1(4E)/20:0)
LMSP03020013,CerPE(d14:1(4E)/25:0)
LMSP03020019,CerPE(d16:1(4E)/16:0)
LMSP03020021,CerPE(d16:1(4E)/19:0)
LMPR0102070052,Diffusoside D
LMSL03000265,"PAT16(24:1(2E)(2Me,4Me[S],6Me[S])/24:0(2Me[R],3OH[R],4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S]))"
LMSP03020032,"CerPE(d14:2(4E,6E)/20:0)"
LMSP03020046,"CerPE(d15:2(4E,6E)/24:0)"
LMSP03020057,"CerPE(d16:2(4E,6E)/21:0)"
LMPK12111905,Kaempferol 5-glucuronide
LMSP03020067,"CerPE(d14:2(4E,6E)/18:0(2OH))"
LMSP03020076,"CerPE(d15:2(4E,6E)/18:0(2OH))"
LMSP03020086,CerPE(d16:1(4E)/24:0(2OH))
LMSP03020087,"CerPE(d16:2(4E,6E)/16:0(2OH))"
LMSP03020054,"CerPE(d16:2(4E,6E)/24:0)"
LMSP03020003,CerPE(d14:1(4E)/18:1(9Z))
LMSP03020062,CerPE(d14:1(4E)/22:0(2OH))
LMFA01031208,Caryoynencin C
LMFA05000380,Reclassified to LMFA07010332
LMSP03030033,PI-Cer(d18:0/22:0(2OH))
LMSP03030012,PI-Cer(t18:0/16:0)
LMSP03030006,PI-Cer(d18:0/16:0)
LMSP03030013,PI-Cer(t18:0/18:0)
LMSP03030015,PI-Cer(t18:0/22:0)
LMFA05000750,Virol B
LMSP03030018,PI-Cer(t20:0/16:0)
LMSP03030021,PI-Cer(t20:0/22:0)
LMSP03030023,PI-Cer(t20:0/26:0)
LMSP03030031,PI-Cer(d18:0/18:0(2OH))
LMSP03030053,PI-Cer(d20:0/26:0(2OH))
LMSP03030047,PI-Cer(t20:0/26:0(2OH))
LMSP03030048,PI-Cer(d20:0/16:0(2OH))
LMPK12112232,Horridin (flavone)
LMSP03030025,PI-Cer(d20:0/18:0)
LMSP03030017,PI-Cer(t18:0/26:0)
LMSP03030019,PI-Cer(t20:0/18:0)
LMSP03030020,PI-Cer(t20:0/20:0)
LMSP03030024,PI-Cer(d20:0/16:0)
LMSP03030032,PI-Cer(d18:0/20:0(2OH))
LMSP03030034,PI-Cer(d18:0/24:0(2OH))
LMSP03030037,PI-Cer(t18:0/18:0(2OH))
LMSP03030044,PI-Cer(t20:0/20:0(2OH))
LMSP03030046,PI-Cer(t20:0/24:0(2OH))
LMSP03030050,PI-Cer(d20:0/20:0(2OH))
LMPK12112031,Caohuoside D
LMSP03030026,PI-Cer(d20:0/20:0)
LMFA08030003,N-(3-oxo-hexanoyl)-homoserine lactone
LMSP03030008,PI-Cer(d18:0/20:0)
LMSP03030009,PI-Cer(d18:0/22:0)
LMSP03030010,PI-Cer(d18:0/24:0)
LMSP03030028,PI-Cer(d20:0/24:0)
LMSP03030035,PI-Cer(d18:0/26:0(2OH))
LMSP03030036,PI-Cer(t18:0/16:0(2OH))
LMSP03030038,PI-Cer(t18:0/20:0(2OH))
LMSP03030045,PI-Cer(t20:0/22:0(2OH))
LMSP03030049,PI-Cer(d20:0/18:0(2OH))
LMSP03030051,PI-Cer(d20:0/22:0(2OH))
LMSL03000289,"PAT16(25:1(2E)(2Me,4Me[S],6Me[S])/22:1(2E)(2Me,4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S])/25:1(2E)(2Me,4Me[S],6Me[S]))"
LMSL03000305,"PAT16(25:1(2E)(2Me,4Me[S],6Me[S])/24:1(2E)(2Me,4Me[S],6Me[S])/24:1(2E)(2Me,4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S]))"
LMPR0102070054,Diffusoside A
LMST05020053,Gracilosulfate B
LMST05020052,Gracilosulfate A
LMST05020055,Gracilosulfate D
LMSP03030014,PI-Cer(t18:0/20:0)
LMSP0505CG00,ClcNAc-Lex-5
LMSP03030027,PI-Cer(d20:0/22:0)
LMSP03030040,PI-Cer(t18:0/24:0(2OH))
LMSP03030052,PI-Cer(d20:0/24:0(2OH))
LMSP03030030,PI-Cer(d18:0/16:0(2OH))
LMSL03000308,"PAT16(25:1(2E)(2Me,4Me[S],6Me[S])/24:1(2E)(2Me,4Me[S],6Me[S])/25:1(2E)(2Me,4Me[S],6Me[S])/24:1(2E)(2Me,4Me[S],6Me[S]))"
LMPK12111145,Scutellarein 7-methyl ether 6-glucoside
LMFA08020164,"2,4-Undecadiene-8,10-diynoic acid isobutylamide"
LMFA08020376,N-(15-methyl-3-hydroxy-hexadecanoyl)-glycyl-seryl-ornithine
LMPK12112051,"Quercetin 3,5-digalactoside"
LMPK12111742,"Kaempferol 3,4'-diglucoside"
LMPK12111437,Nevadensin 5-glucoside
LMPK12111038,Luteolin 7-methyl ether 5-glucoside
LMPK12111466,Pleurostimin 7-methyl ether 6-glucoside
LMPK12111734,Nicotiflorin
LMPK12110877,"Tricetin 3',4'-dimethyl ether 7-glucuronide"
LMPK12111341,Isoscutellarein 8-glucuronide
LMPK13010001,Orsellinic acid
LMFA08020382,Alkamide 2
LMFA05000384,Reclassified to LMFA07010336
LMFA04000096,Protectin D1n-3 DPA
LMFA02000384,Solacetal D
LMPR01070445,Methoxyspheroidene
LMPR01070446,"3,4,3',4',7',8'-Hexahydrospirilloxanthin"
LMPR01070447,"3,4,3',4',7',8',11',12'-Octahydrospirilloxanthin"
LMPR01070448,"3,4-Dehydrorhodopin glucoside"
LMST05050036,Fuscaside B
LMPR0103690001,(-)-alpha-Cedrene
LMPR0105050008,Ophiobolin T
LMFA07040139,PsiAalpha
LMPR0105050006,Ophiobolin Q
LMPR0105050005,Ophiobolin P
LMPR0105050004,Ophiobolin R
LMPR0105050007,Ophiobolin S
LMPR0105050002,Drophiobiolin A
LMPR0105050003,Drophiobiolin B
LMSP05010128,Crispin A
LMSP00000027,Man-Cer(d16:0(15Me(3OH))/14:0(13Me))
LMPR01070449,Demethylspheroidene glucoside
LMPR01070450,Didemethylspirilloxanthin glucoside
LMPR01070451,Deoxyoscillol 2-rhamnoside
LMST05010008,"16alpha,17beta-Estriol 16-(beta-D-glucuronide)"
LMPR01070452,Rhodopinol glucoside
LMPR01070453,Dihydroxylycopene glucoside
LMPR01070454,Methoxyhydroxylycopene glucoside
LMST05010020,"(23S)-23,25-dihydroxy-24-oxovitamin D3 23-(beta-glucuronide)"
LMST05010050,11alpha-hydroxyprogesterone 11-glucosiduronic acid
LMPR01070460,"Lycopene 1,2-epoxide"
LMSP0601DI00,KDN GD1a 2
LMSP01080072,Heptadeacsphing-6E-enine 4R-sufate
LMGP01060047,PC(O-16:1(3Z)/0:0)
LMPK15030049,Adipostatin B
LMPK15030046,Adipostatin J
LMPR01070463,Phytofluene epoxide
LMPR01070480,Rhodobacterioxanthin
LMPR01070455,Oscillaxanthin
LMPR01070456,"Oscillol 2,2'-dirhamnoside"
LMPR01070457,"Oscillol 2,2'-difucoside"
LMPR01070458,Dihydroxylycopene diglucoside
LMPR01070459,"Oscillol 2,2'-di-(O-methylmethylpentoside)"
LMPR01070461,"Lycopene 5,6-epoxide"
LMPR01070471,"3,4-Dehydrolycopen-16-al"
LMPR01070472,"3,4-Didehydro-1,2-dihydrolycopen-20-al"
LMFA07011158,Neryl 4-methylhexanoate
LMFA07011159,Neryl 5-methylhexanoate
LMPR0103800001,"Campherene-2,13-diol"
LMFA01031202,Nepheliosyne A
LMFA01020442,"11-Methyl-2Z,5Z-dodecadienoic acid"
LMPK12111355,Isoscutellarein 4'-methyl ether 8-(6''-n-butylglucuronide)
LMPR01070500,Lycopanerols H
LMPR01070501,Lycopanerols H C153
LMPR01070470,Tetradehydrolycopenal
LMPR01070473,Lycopen-20-al
LMPR01070474,Lycopenal
LMPR01070468,Lycopanerol F
LMPR01070481,"3,4,3',4'-Tetrahydrospirilloxanthin-20-al"
LMPR01070482,P 500
LMPR01070483,Rhodopinal glucoside
LMPR01070484,"4,4'-Diketolycopene"
LMST01010004,"5,6alpha-epoxy-cholesterol(d7)"
LMFA01030375,"7E,13E-Eicosadienoic acid"
LMFA01031204,Heterofibrin A1
LMFA08030040,"N-(2E,9Z-hexadecadienoyl)-homoserine lactone"
LMPR01070485,Ketohydroxylycopene
LMPR01070496,R.g.Keto-VII
LMPR01070495,R.g.Keto-VI
LMPR01070494,R.g.Keto-V
LMPR01070493,R.g.Keto-IV
LMPR01070492,R.g.Keto-III
LMPR01070491,R.g.Keto-II
LMPR01070506,Retrodehydro-gamma-carotene
LMPR01070490,R.g.Keto-I
LMPR01070489,Methoxyspheroidenone
LMPR01070488,2-Ketorhodovibrin
LMPR01070487,2'-Dihydrophilipsiaxanthin
LMFA08030041,N-(7-methyloctanoyl)homoserine lactone
LMFA08030042,N-(3-hydroxy-7-methyloctanoyl)homoserine lactone
LMPR0105020005,Somaliensene B
LMPR0105020006,Somaliensene A
LMPR0104330005,Wikstrocin A
LMPR01070505,(15Z)-gamma-Carotene
LMPR01070502,Apo-4'-lycopenal
LMPR01070508,"(3'Z,5'Z)-Torulene"
LMPR01070509,16'-Hydroxytorulene
LMPR01070510,18'-Hydroxytorulene
LMPR01070513,"(3'Z,5'Z)-Celaxanthin"
LMPR01070511,all-trans-Celaxanthin
LMPR01070517,Aleuriaxanthin
LMPR01070518,Gazaniaxanthin
LMPK12110683,"Luteolin 7-glucuronide-3',4'-dirhamnoside"
LMPK12110685,Luteolin 7-glucuronosyl-(1->2)-glucuronide-4'-glucuronide
LMPK12111137,"Scutellarein 6,7-dimethyl ether 4'-glucuronide"
LMPK12110405,Apigenin 4'-(2''-feruloylglucuronosyl)-(1->2)-glucuronide
LMFA01090161,Carduusyne B
LMFA01050589,Carduusyne E
LMFA01080037,Carduusyne C
LMFA01050587,15R-HTPE
LMFA01090162,Carduusyne D
LMPK12112120,Quercetin 3-sophoroside-7-glucuronide
LMPK12110406,Apigenin 7-Glucuronosyl-(1->3)-[2''-p-coumaroylglucuronosyl)-(1->2)-glucuronide]
LMSP0601AL00,GT3
LMPK12110671,Luteolin 7-glucuronide-4'-rhamnoside
LMPK12110389,Apigenin 7-glucuronide-4'-(6''-malonylglucoside)
LMPK12110782,Luteolin 3'-methyl ether 7-glucuronide-4'-rhamnoside
LMPR01070733,"(8R,8'S)-Auroxanthin"
LMPK12111774,Kaempferol 3-glucoside-7-gentiobioside
LMPK12112096,Quercetin 3-gentiobioside
LMPK12112360,Isorhamnetin 3-gentiotrioside-7-glucoside
LMPK12111782,"Kaempferol 3-gentiobioside-7,4'-diglucoside"
LMPK12112383,Isorhamnetin 3-rhamnosyl-(1->2)-gentiobiosyl-(1->6)-glucoside
LMPK12112112,Quercetin 3-(2G-glucosylgentiobioside)
LMPK12112389,Isorhamnetin 3-[2''-(4'''-acetylrhamnosyl)-gentiobioside]
LMPR01080032,Bacterioruberin
LMPR01080036,Bacterioruberin monoglucoside
LMPR01080034,(9Z)-Bacterioruberin
LMPR01080033,(5Z)-Bacterioruberin
LMPR01080037,Bacterioruberin diglucoside
LMPR01080038,"3',4'-Epoxymonoanhydrobacterioruberin"
LMPR01080040,C.p.450
LMPR01080041,C.p.450 glucoside
LMPR01080042,C.p.460
LMPR01080043,C.p.473
LMPR01080044,C.p.473 glucoside
LMPR01080045,A.g.471
LMFA05000390,Reclassified to LMFA07010342
LMFA01060235,29-Oxotriacontanoic acid
LMFA01050591,Curvulalic acid
LMFA08030047,N-(7Z-tetradecenoyl)-homoserine lactone
LMFA08030048,"N-(2E,7Z-tetradecadienoyl)-homoserine lactone"
LMPR01080054,Sarcinaxanthin diglucoside
LMPR01070734,"(8S,8'S)-Auroxanthin"
LMFA07040165,Berkeleylactone E
LMPR01080052,Sarcinaxanthin
LMPR01080053,Sarcinaxanthin monoglucoside
LMPR01080051,Decaprenoxanthin diglucoside
LMPK02000061,Thuwalallene D
LMPK02000059,Thuwalallene C
LMPK02000066,Mycalin B
LMPK02000055,Katsuurenyne A
LMPK02000056,Katsuurenyne B
LMFA08020295,N-hexanoyl histidine
LMFA08030007,N-(3R-hydroxy-7Z-tetradecenoyl)-homoserine lactone
LMFA08030006,N-heptanoyl-homoserine lactone
LMPK15030002,DB-2073
LMFA01140024,Majusculoic acid
LMPR0106250001,Pfaffic acid
LMPR01080050,Dihydrodecaprenoxanthin glucoside
LMPR01080049,Decaprenoxanthin
LMFA07040164,Berkeleylactone D
LMPR01080047,Okadaxanthin
LMFA08020315,N-(m-Methoxybenzyl)hexadecanamide
LMPR01080046,Deshydroxydecaprenoxanthin
LMPR01070726,Cryptoxanthin diepoxide
LMPR01070725,"Cryptoxanthin 5,6,5',8'-diepoxide"
LMPR01070735,Auroxanthin
LMFA08020302,Palmitoyl Serotonin
LMFA08020304,Oleoyl Serotonin
LMPR0106010039,Squalen-1-ol
LMSP01080079,Xestoaminol B
LMFA07040166,Berkeleylactone F
LMPR01070743,(8'S)-Latochrome
LMPK12010418,Hirsutin
LMPK12010438,5-Carboxypyranopelargonidin 3-O-beta-glucopyranoside
LMPK12020294,Acutifolin C
LMPK12010037,Pelargonidin 3-glucoside-5-(6''-acetylglucoside)
LMFA07040167,Berkeleylactone G
LMPK12010044,Pelargonidin 3-(6''-ferulylglucoside)-5-glucoside
LMFA07040168,Berkeleylactone H
LMFA05000389,Reclassified to LMFA07010341
LMFA05000406,Reclassified to LMFA07010358
LMPK12010135,Cyanidin 3-(6''-malonylglucoside)
LMPK12010280,Delphinidin 3-sophoroside
LMFA07040169,Berkeleylactone !
LMPK12010287,Delphinidin 3-sophoroside-5-glucoside
LMPK12111663,Trifolin
LMFA05000395,Reclassified to LMFA07010347
LMFA05000396,Reclassified to LMFA07010348
LMFA05000399,Reclassified to LMFA07010351
LMSP01080077,Obscuraminol F
LMPK12111121,"Scutellarein 7,4'-dimethyl ether 6-sophoroside"
LMPK12010187,"Cyanidin 3-(6'',6'''-disinapylsophoroside)-5-glucoside"
LMPK12111352,8-Hydroxyapigenin 8-sophoroside
LMPK12111387,Hypolaetin 7-sophoroside
LMPK12111744,Kaempferol 3-sophorotrioside
LMFA05000400,Reclassified to LMFA07010352
LMFA05000403,Reclassified to LMFA07010355
LMGL00000136,Crasseride 1
LMGL00000137,Crasseride 2
LMFA02020150,Reclassified as LMFA02000231
LMGL00000138,Crasseride 3
LMGL00000139,Crasseride 4
LMGL00000140,Crasseride 5
LMGL00000141,Crasseride 6
LMST02030130,Allopregnanolone
LMST01140001,Brassinolide
LMPK15030050,Adipostatin A
LMPK12111776,Kaempferol 3-sophorotrioside-7-glucoside
LMSP03030002,PI-Cer(t18:0/26:0)
LMFA03060005,5S-HETE-d8
LMFA01140018,Sterculic acid
LMFA08040047,Adrenoyl-EA
LMSP03030115,M(IP)2C(d18:0/18:0)
LMSP03030131,M(IP)2C(d20:0/26:0(2OH))
LMFA08020310,"N-benzyl-9-oxo-10E,12Z-octadecadienamide"
LMSP03030134,M(IP)2C(d20:0/20:0)
LMSP03030138,M(IP)2C(t20:0/16:0(2OH))
LMSP03030140,M(IP)2C(t20:0/20:0(2OH))
LMPK12111777,Kaempferol 3-sophorotrioside-7-rhamnoside
LMFA05000404,Reclassified to LMFA07010356
LMFA05000405,Reclassified to LMFA07010357
LMSP03030103,M(IP)2C(t18:0/18:0(2OH))
LMSP03030104,M(IP)2C(t18:0/20:0(2OH))
LMSP03030106,M(IP)2C(t18:0/24:0(2OH))
LMSP03030108,M(IP)2C(t18:0/16:0)
LMSP03030142,M(IP)2C(t20:0/24:0(2OH))
LMFA07040170,Berkeleylactone J
LMSP03030148,M(IP)2C(t20:0/24:0)
LMSP03030149,M(IP)2C(t20:0/26:0)
LMSP03030107,M(IP)2C(t18:0/26:0(2OH))
LMPK12113190,Limocitrin 3-sophoroside
LMPK12113108,Sexangularetin 3-sophoroside
LMFA02020021,Reclassified as LMFA02000102
LMST04010411,Cygnocholic acid
LMSP05010132,Cerebroside A
LMSP05010133,Cerebroside B
LMSP03030105,M(IP)2C(t18:0/22:0(2OH))
LMSP03030109,M(IP)2C(t18:0/18:0)
LMSP03030111,M(IP)2C(t18:0/22:0)
LMSP03030112,M(IP)2C(t18:0/24:0)
LMSP03030113,M(IP)2C(t18:0/26:0)
LMPK12113106,Herbacetin 3-sophoroside-8-glucoside
LMPK12112353,Isorhamnetin 3-sophoroside-7-rhamnoside
LMPK12110582,Isorhamnetin 3-sophoroside
LMPK12111757,Kaempferol 3-sophoroside-7-glucoside
LMPK12111818,Kaempferol 3-sophoroside-7-(2''-ferulylglucoside)
LMPK12111934,Kaempferol 3-sophoroside-7-cellobioside
LMPK12112105,Quercetin 3-sophorotrioside
LMPK12112118,Quercetin 3-sophoroside-7-glucoside
LMPK12112270,Quercetin 3-sophoroside-7-(6''-(E)-caffeoylglucoside)
LMPK12112373,Isorhamnetin 7-sophoroside
LMPK12112131,Quercetin 3-glucoside-7-sophoroside
LMPK12111190,6-Hydroxyluteolin 7-sophoroside
LMPK12110815,Luteolin 4'-methyl ether 7-sophoroside
LMPK12111199,6-Hydroxyluteolin 3'-methyl ether 7-sophoroside
LMPK12111824,Kaempferol 3-(2''-sinapylglucoside)-7-sophoroside
LMFA07010581,SFE 4:1(2E)/4:0
LMPK12110714,Luteolin 7-sophorotrioside
LMPK12110783,Luteolin 3'-methyl ether 7-sophorotrioside
LMFA02020025,Reclassified as LMFA02000106
LMPK12110693,Luteolin 7-(6'''-acetylsophoroside)
LMPK12111194,6-Hydroxyluteoin-7-(6'''-p-coumarylsophoroside)
LMPK12111802,Kaempferol 3-caffeylsophoroside
LMPK12112386,Isorhamnetin 3-(6''-(E)-sinapoylsophoroside)
LMPK12110456,Acacetin 7-rhamnosyl-(1->4'')[glucosyl-(1->6'')(6'''-acetylsophoroside)]
LMPK12111815,Kaempferol 3-(2'''-(E)-p-coumarylsophoroside)-7-glucoside
LMPK12111816,Kaempferol 3-(2'''-(E)-caffeylsophoroside)-7-glucoside
LMPK12111819,Kaempferol 3- (2'''-sinapylsophoroside) -7-glucoside
LMPK12112149,Quercetin 3-(2'''-caffeylsophoroside)
LMPK12112152,Quercetin 3-(6''''-caffeylsophorotrioside)
LMPK12112154,Quercetin 3-(6''''-sinapylsophorotrioside)
LMPK12112158,Quercetin 3-p-coumarylsophoroside-7-glucoside
LMPK12112161,Quercetin 3-(3'''-benzoylsophoroside)-7-rhamnoside
LMFA02020143,Reclassified as LMFA02000224
LMFA11000436,4-Undecene
LMPK12112267,Quercetin 3-(6''-(E)-p-coumaroylsophoroside)-7-rhamnoside
LMPK12112269,Quercetin 3-(6''-caffeoylsophoroside)-7-rhamnoside
LMPK12112272,Quercetin 3-(6''-(E)-sinapoylsophoroside)-7-rhamnoside
LMPR01070730,(8'R)-Luteoxanthin
LMPR01070731,(8'S)-Luteoxanthin
LMPR01070738,Violaxanthin laurate myristate
