lm_id,lm_name,refmet_standardized_name,refmet_formula,refmet_exact_mass,refmet_super_class,refmet_main_class,refmet_sub_class,refmet_pubchem_cid,refmet_chebi_id,refmet_hmdb_id,refmet_lm_id,refmet_kegg_id,refmet_inchi_key,refmet_id,lm_id_mismatch
LMPR0103540013,Austrobuxusin K,,,,,,,,,,,,,,False
LMPR0103540015,Austrobuxusin L,,,,,,,,,,,,,,False
LMPR0103540016,Austrobuxusin M,,,,,,,,,,,,,,False
LMPR0103540017,Austrobuxusin B,,,,,,,,,,,,,,False
LMPR0106010040,"4,4'-Diaponeurosporen-4-al",,,,,,,,,,,,,,False
LMFA07011193,"(2Z, 8Z)-10-Isobutyryloxy matricaria ester",,,,,,,,,,,,,,False
LMFA07040151,"(4Z, 8Z)-10-Tigloyloxy matricaria lactone",,,,,,,,,,,,,,False
LMFA07040152,"(4Z, 8Z)-10-Angeloyloxy matricaria lactone",,,,,,,,,,,,,,False
LMFA07040153,Mueggelone,,,,,,,,,,,,,,False
LMFA07040154,Sacrolide A,,,,,,,,,,,,,,False
LMFA07040156,"15,16-dihydrosacrolide A",,,,,,,,,,,,,,False
LMGP02050074,PE(14:0(13Me)/0:0),,,,,,,,,,,,,,False
LMGL02030040,"2,3-Di-O-dihydro-14,15-geranylgeranyl-sn- glycerol",,,,,,,,,,,,,,False
LMPR0106010044,"15-cis-4,4'-Diapophytoene",,,,,,,,,,,,,,False
LMPR0106010043,Staphyloxanthin,,,,,,,,,,,,,,False
LMPR0106010042,"Glucosyl-4,4'-diaponeurosporenoate",,,,,,,,,,,,,,False
LMFA07040155,9-epiSacrolide A,,,,,,,,,,,,,,False
LMFA08020291,Bacillamidin C,,,,,,,,,,,,,,False
LMFA03000022,Ptilodene,,,,,,,,,,,,,,False
LMFA08020285,Topostin D654,,,,,,,,,,,,,,False
LMPR0103460001,Valerenic acid,,,,,,,,,,,,,,False
LMPK12112339,Isorhamnetin 3-(3'''-ferulylrobinobioside),,,,,,,,,,,,,,False
LMPK12111264,"6-Hydroxytricetin 6,7,3',5'-tetramethyl eter 5-robinobioside",,,,,,,,,,,,,,False
LMFA05000757,"3,5,7-nonatriyn-1-ol",,,,,,,,,,,,,,False
LMPK12111707,Kaempferol 3-caffeylrobinobioside-7-rhamnoside,,,,,,,,,,,,,,False
LMPK12112419,Myricetin 3-(4''-p-coumarylrobinobioside)-7-rhamnoside,,,,,,,,,,,,,,False
LMPK12111922,Kaempferol 3-robinobioside-7-alpha-L-arabinofuranoside,,,,,,,,,,,,,,False
LMPK12111961,Kaempferol 3-[2Gal-(6'''-feruloylglucosyl)-robinobioside],,,,,,,,,,,,,,False
LMPK12112084,Quercetin 3-(4''-(E)-p-coumarylrobinobioside)-7-rhamnoside,,,,,,,,,,,,,,False
LMPK12111687,Kaempferol 3-(2Gal-glucosylrobinobioside)-7-rhamnoside,,,,,,,,,,,,,,False
LMPK12110601,Tamarixetin 7-glucoside,,,,,,,,,,,,,,False
LMFA03080011,"(+/-)11,12-EpETrE-d8",,,,,,,,,,,,,,False
LMST01010005,7-oxocholesterol(d7),7-Oxo-cholesterol,C27H44O2,400.3341,Sterol Lipids,Sterols,Oxysterols,91474,64294,HMDB0000501,LMST01010049,,YIKKMWSQVKJCOP-ABXCMAEBSA-N,RM0135647,True
LMGP14010008,As-PL(17:0/16:0),,,,,,,,,,,,,,False
LMSP0502AA08,Gb3(d18:1/26:1(17Z)),,,,,,,,,,,,,,False
LMSP0601AJ01,GM3(d18:1/16:0),GM3 18:1;O2/16:0,C57H104N2O21,1152.7132,Sphingolipids,Glycosphingolipids,Gangliosides,44262036,84674,HMDB0004844,LMSP0601AJ01,,RBTPLAKLLKHEMT-UHBYWNILSA-N,RM0135628,False
LMPK12112199,Quercetin 3-rhamnoside-7-glucoside,,,,,,,,,,,,,,False
LMSP03020095,"CerPE(d18:0(17Me)/16:0(3OH,15Me))",,,,,,,,,,,,,,False
LMSP03030152,PI-Cer(d20:0/14:0),IPC 20:0;O2/14:0,C40H80NO11P,781.5469,Sphingolipids,Phosphosphingolipids,IPC,126457742,,,LMSP03030152,,NUJSLMICTSILAE-FLTMMBLOSA-N,RM0124617,False
LMSP01060001,Sphingosine-1-phosphocholine,LSM 18:1;O2,C23H49N2O5P,464.3379,Sphingolipids,Sphingoid bases,Lyso-SM,,,,,,,RM0186527,False
LMSP0601AK05,GD3(d18:1/24:0),GD3 18:1;O2/24:0,C76H137N3O29,1555.9338,Sphingolipids,Glycosphingolipids,Gangliosides,,,,,,,RM0001955,False
LMSP0601AK07,GD3(d18:1/24:1(15Z)),,,,,,,,,,,,,,False
LMSP0601AA08,GM4(d18:1/26:1(17Z)),,,,,,,,,,,,,,False
LMSP03020002,CerPE(d14:1(4E)/16:0),,,,,,,,,,,,,,False
LMSP01060003,C17 sphingosine-1-phosphocholine,LSM 17:1;O2,C22H47N2O5P,450.3223,Sphingolipids,Sphingoid bases,Lyso-SM,,,,,,,RM0186525,False
LMPR0102070051,Diffusoside C,,,,,,,,,,,,,,False
LMSP0601AJ07,GM3(d18:1/24:1(15Z)),,,,,,,,,,,,,,False
LMSP03030153,PI-Cer(t20:0/14:0),,,,,,,,,,,,,,False
LMPK12112432,Nympholide B,,,,,,,,,,,,,,False
LMFA05000647,Cicutoxin,Cicutoxin,C17H22O2,258.1620,Fatty Acyls,Fatty alcohols,Fatty alcohols,25265910,3695,,LMFA05000647,C08402,FQVNSJQTSOVRKZ-JNRDBWBESA-N,RM0150671,False
LMPK12113140,Herbacetin 3-rhamnoside-8-glucoside,,,,,,,,,,,,,,False
LMSP03020020,CerPE(d16:1(4E)/18:0),,,,,,,,,,,,,,False
LMSP03020030,"CerPE(d14:2(4E,6E)/18:0)",,,,,,,,,,,,,,False
LMSP03020048,"CerPE(d16:2(4E,6E)/18:0)",,,,,,,,,,,,,,False
LMSP03020077,"CerPE(d15:2(4E,6E)/20:0(2OH))",,,,,,,,,,,,,,False
LMSP03020040,"CerPE(d14:2(4E,6E)/21:0)",,,,,,,,,,,,,,False
LMSP03020089,"CerPE(d16:2(4E,6E)/20:0(2OH))",,,,,,,,,,,,,,False
LMSP03020007,CerPE(d14:1(4E)/21:0),,,,,,,,,,,,,,False
LMSP03020008,CerPE(d14:1(4E)/22:0),,,,,,,,,,,,,,False
LMSP03020017,CerPE(d15:1(4E)/22:0),,,,,,,,,,,,,,False
LMFA07040136,"4S-Hydroxy-5R-octyl-4,5-dihydro-3H-furan-2-one",,,,,,,,,,,,,,False
LMPR0103510001,(+)-beta-Isolongibornene,,,,,,,,,,,,,,False
LMSL03000033,"PAT16(22:1(2E)(2Me,4Me[S],6Me[S])/22:1(2E)(2Me,4Me[S],6Me[S])/25:1(2E)(2Me,4Me[S],6Me[S])/24:1(2E)(2Me,4Me[S],6Me[S]))",,,,,,,,,,,,,,False
LMPK12112180,Quercetin 7-rhamnoside,Quercetin 7-rhamnoside,C21H20O11,448.1006,Polyketides,Flavonoids,Flavones and Flavonols,44259226,,,LMPK12112180,,QPHXPNUXTNHJOF-XNFUJFQVSA-N,RM0204857,False
LMSP03020029,"CerPE(d14:2(4E,6E)/16:0)",,,,,,,,,,,,,,False
LMSP03020034,"CerPE(d14:2(4E,6E)/22:0)",,,,,,,,,,,,,,False
LMSP03020038,"CerPE(d14:2(4E,6E)/26:0)",,,,,,,,,,,,,,False
LMFA06000075,2-tridecenal,,,,,,,,,,,,,,False
LMSP03020056,"CerPE(d16:2(4E,6E)/19:0)",,,,,,,,,,,,,,False
LMSP03020078,"CerPE(d15:2(4E,6E)/22:0(2OH))",,,,,,,,,,,,,,False
LMSP03020047,"CerPE(d16:2(4E,6E)/16:0)",,,,,,,,,,,,,,False
LMSP03020068,"CerPE(d14:2(4E,6E)/20:0(2OH))",,,,,,,,,,,,,,False
LMSP03020010,CerPE(d14:1(4E)/23:0),,,,,,,,,,,,,,False
LMSP03020004,CerPE(d14:1(4E)/19:0),,,,,,,,,,,,,,False
LMSP03020014,CerPE(d14:1(4E)/26:0),,,,,,,,,,,,,,False
LMSP03020022,CerPE(d16:1(4E)/20:0),,,,,,,,,,,,,,False
LMPK12111301,Skullcapflavone I 2'-(4''-E-Cinnamoylglucoside),,,,,,,,,,,,,,False
LMSP03020052,"CerPE(d16:2(4E,6E)/22:0)",,,,,,,,,,,,,,False
LMSP03020058,"CerPE(d16:2(4E,6E)/23:0)",,,,,,,,,,,,,,False
LMSP03020064,CerPE(d14:1(4E)/24:0(2OH)),,,,,,,,,,,,,,False
LMSP03020094,"CerPE(d16:2(4E,6E)/24:1(15Z)(2OH))",,,,,,,,,,,,,,False
LMSP03020018,CerPE(d15:1(4E)/24:0),,,,,,,,,,,,,,False
LMSP03020025,CerPE(d16:1(4E)/23:0),,,,,,,,,,,,,,False
LMSP03020006,CerPE(d14:1(4E)/20:1(11Z)),,,,,,,,,,,,,,False
LMSP03020024,CerPE(d16:1(4E)/22:0),,,,,,,,,,,,,,False
LMSP03020027,CerPE(d16:1(4E)/22:1(13Z)),,,,,,,,,,,,,,False
LMSP03020044,"CerPE(d15:2(4E,6E)/20:0)",,,,,,,,,,,,,,False
LMSP03020060,CerPE(d14:1(4E)/20:0(2OH)),,,,,,,,,,,,,,False
LMPR0103740002,pentalenene,Pentalenene,C15H24,204.1878,Prenol Lipids,Isoprenoids,C15 isoprenoids,11009055,17251,,LMPR0103740002,,YGIVIHRLDOVJLL-GUIRCDHDSA-N,RM0136828,False
LMSL03000214,"PAT16(24:1(2E)(2Me,4Me[S],6Me[S])/25:1(2E)(2Me,4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S])/25:1(2E)(2Me,4Me[S],6Me[S]))",,,,,,,,,,,,,,False
LMSP03020031,"CerPE(d14:2(4E,6E)/18:1(9Z))",,,,,,,,,,,,,,False
LMSP03020051,"CerPE(d16:2(4E,6E)/20:1(11Z))",,,,,,,,,,,,,,False
LMSP03020069,"CerPE(d14:2(4E,6E)/20:1(11Z)(2OH))",,,,,,,,,,,,,,False
LMSP03020084,CerPE(d16:1(4E)/22:0(2OH)),,,,,,,,,,,,,,False
LMPK12111083,Baicalein 6-glucuronide,,,,,,,,,,,,,,False
LMSP03020011,CerPE(d14:1(4E)/24:0),,,,,,,,,,,,,,False
LMSP03020033,"CerPE(d14:2(4E,6E)/20:1(11Z))",,,,,,,,,,,,,,False
LMSP03020061,CerPE(d14:1(4E)/20:1(11Z)(2OH)),,,,,,,,,,,,,,False
LMSP03020075,CerPE(d15:1(4E)/22:0(2OH)),,,,,,,,,,,,,,False
LMSP03020016,CerPE(d15:1(4E)/20:0),,,,,,,,,,,,,,False
LMSP03020043,"CerPE(d15:2(4E,6E)/18:0)",,,,,,,,,,,,,,False
LMSP03020001,CerPE(d14:1(4E)/18:0),,,,,,,,,,,,,,False
LMPK12112465,"Myricetin 3-(2'',3''-digalloylrhamnoside)",,,,,,,,,,,,,,False
LMPK12112213,Quercetin 3-(3''-acetylrhamnoside),,,,,,,,,,,,,,False
LMPK12111026,Embigenin,,,,,,,,,,,,,,False
LMSL03000145,"PAT16(22:1(2E)(2Me,4Me[S],6Me[S])/24:0(2Me[R],3OH[R],4Me[S],6Me[S])/24:0(2Me[R],3OH[R],4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S]))",,,,,,,,,,,,,,False
LMSP0601DY00,sialyl(2-6)lactotetraosylceramide,,,,,,,,,,,,,,False
LMSP03020037,"CerPE(d14:2(4E,6E)/24:1(15Z))",,,,,,,,,,,,,,False
LMSP03020042,"CerPE(d14:2(4E,6E)/25:0)",,,,,,,,,,,,,,False
LMSP03020063,CerPE(d14:1(4E)/22:1(13Z)(2OH)),,,,,,,,,,,,,,False
LMSP03020080,CerPE(d16:1(4E)/18:0(2OH)),,,,,,,,,,,,,,False
LMSP03020088,"CerPE(d16:2(4E,6E)/18:0(2OH))",,,,,,,,,,,,,,False
LMSP03020005,CerPE(d14:1(4E)/20:0),,,,,,,,,,,,,,False
LMSP03020013,CerPE(d14:1(4E)/25:0),,,,,,,,,,,,,,False
LMSP03020019,CerPE(d16:1(4E)/16:0),,,,,,,,,,,,,,False
LMSP03020021,CerPE(d16:1(4E)/19:0),,,,,,,,,,,,,,False
LMPR0102070052,Diffusoside D,,,,,,,,,,,,,,False
LMSL03000265,"PAT16(24:1(2E)(2Me,4Me[S],6Me[S])/24:0(2Me[R],3OH[R],4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S]))",,,,,,,,,,,,,,False
LMSP03020032,"CerPE(d14:2(4E,6E)/20:0)",,,,,,,,,,,,,,False
LMSP03020046,"CerPE(d15:2(4E,6E)/24:0)",,,,,,,,,,,,,,False
LMSP03020057,"CerPE(d16:2(4E,6E)/21:0)",,,,,,,,,,,,,,False
LMPK12111905,Kaempferol 5-glucuronide,,,,,,,,,,,,,,False
LMSP03020067,"CerPE(d14:2(4E,6E)/18:0(2OH))",,,,,,,,,,,,,,False
LMSP03020076,"CerPE(d15:2(4E,6E)/18:0(2OH))",,,,,,,,,,,,,,False
LMSP03020086,CerPE(d16:1(4E)/24:0(2OH)),,,,,,,,,,,,,,False
LMSP03020087,"CerPE(d16:2(4E,6E)/16:0(2OH))",,,,,,,,,,,,,,False
LMSP03020054,"CerPE(d16:2(4E,6E)/24:0)",,,,,,,,,,,,,,False
LMSP03020003,CerPE(d14:1(4E)/18:1(9Z)),,,,,,,,,,,,,,False
LMSP03020062,CerPE(d14:1(4E)/22:0(2OH)),,,,,,,,,,,,,,False
LMFA01031208,Caryoynencin C,,,,,,,,,,,,,,False
LMFA05000380,Reclassified to LMFA07010332,,,,,,,,,,,,,,False
LMSP03030033,PI-Cer(d18:0/22:0(2OH)),,,,,,,,,,,,,,False
LMSP03030012,PI-Cer(t18:0/16:0),,,,,,,,,,,,,,False
LMSP03030006,PI-Cer(d18:0/16:0),IPC 18:0;O2/16:0,C40H80NO11P,781.5469,Sphingolipids,Phosphosphingolipids,IPC,70699079,,,LMSP03030006,,ZIRQNJUXZWGHLD-FLTMMBLOSA-N,RM0050453,False
LMSP03030013,PI-Cer(t18:0/18:0),,,,,,,,,,,,,,False
LMSP03030015,PI-Cer(t18:0/22:0),,,,,,,,,,,,,,False
LMFA05000750,Virol B,,,,,,,,,,,,,,False
LMSP03030018,PI-Cer(t20:0/16:0),,,,,,,,,,,,,,False
LMSP03030021,PI-Cer(t20:0/22:0),,,,,,,,,,,,,,False
LMSP03030023,PI-Cer(t20:0/26:0),,,,,,,,,,,,,,False
LMSP03030031,PI-Cer(d18:0/18:0(2OH)),,,,,,,,,,,,,,False
LMSP03030053,PI-Cer(d20:0/26:0(2OH)),,,,,,,,,,,,,,False
LMSP03030047,PI-Cer(t20:0/26:0(2OH)),,,,,,,,,,,,,,False
LMSP03030048,PI-Cer(d20:0/16:0(2OH)),,,,,,,,,,,,,,False
LMPK12112232,Horridin (flavone),,,,,,,,,,,,,,False
LMSP03030025,PI-Cer(d20:0/18:0),IPC 20:0;O2/18:0,C44H88NO11P,837.6095,Sphingolipids,Phosphosphingolipids,IPC,70699097,,,LMSP03030025,,IXGYUQHOSFWETL-MJFIMMJPSA-N,RM0118642,False
LMSP03030017,PI-Cer(t18:0/26:0),,,,,,,,,,,,,,False
LMSP03030002,PI-Cer(t18:0/26:0),,,,,,,,,,,,,,False
LMSP03030019,PI-Cer(t20:0/18:0),,,,,,,,,,,,,,False
LMSP03030020,PI-Cer(t20:0/20:0),,,,,,,,,,,,,,False
LMSP03030024,PI-Cer(d20:0/16:0),IPC 20:0;O2/16:0,C42H84NO11P,809.5782,Sphingolipids,Phosphosphingolipids,IPC,70699096,,,LMSP03030024,,WCQSACMVRHUITM-SUCBYGEVSA-N,RM0160081,False
LMSP03030032,PI-Cer(d18:0/20:0(2OH)),,,,,,,,,,,,,,False
LMSP03030034,PI-Cer(d18:0/24:0(2OH)),,,,,,,,,,,,,,False
LMSP03030037,PI-Cer(t18:0/18:0(2OH)),,,,,,,,,,,,,,False
LMSP03030044,PI-Cer(t20:0/20:0(2OH)),,,,,,,,,,,,,,False
LMSP03030046,PI-Cer(t20:0/24:0(2OH)),,,,,,,,,,,,,,False
LMSP03030050,PI-Cer(d20:0/20:0(2OH)),,,,,,,,,,,,,,False
LMPK12112031,Caohuoside D,,,,,,,,,,,,,,False
LMSP03030026,PI-Cer(d20:0/20:0),IPC 20:0;O2/20:0,C46H92NO11P,865.6408,Sphingolipids,Phosphosphingolipids,IPC,70699098,,,LMSP03030026,,KDXDRRUZOOWHCV-QNNODMADSA-N,RM0123773,False
LMFA08030003,N-(3-oxo-hexanoyl)-homoserine lactone,N-(3-Oxo-hexanoyl)-homoserine lactone,C10H15NO4,213.1001,Fatty Acyls,Fatty amides,Fatty acyl homoserine lactones,119133,63789,,LMFA08030003,C11839,YRYOXRMDHALAFL-QMMMGPOBSA-N,RM0152264,False
LMSP03030008,PI-Cer(d18:0/20:0),IPC 18:0;O2/20:0,C44H88NO11P,837.6095,Sphingolipids,Phosphosphingolipids,IPC,70699081,,,LMSP03030008,,MGOSIQPUTOHGQS-MJFIMMJPSA-N,RM0123758,False
LMSP03030009,PI-Cer(d18:0/22:0),IPC 18:0;O2/22:0,C46H92NO11P,865.6408,Sphingolipids,Phosphosphingolipids,IPC,70699082,,,LMSP03030009,,XKDQGRLSOXNYKK-QNNODMADSA-N,RM0060129,False
LMSP03030010,PI-Cer(d18:0/24:0),IPC 18:0;O2/24:0,C48H96NO11P,893.6721,Sphingolipids,Phosphosphingolipids,IPC,70699083,60402,,LMSP03030010,,SJUUDDANVVUTJD-LOTZUYGHSA-N,RM0135583,False
LMSP03030028,PI-Cer(d20:0/24:0),IPC 20:0;O2/24:0,C50H100NO11P,921.7034,Sphingolipids,Phosphosphingolipids,IPC,70699100,62695,,LMSP03030028,,WUNMAQLRUBXKIL-PCIXLOPBSA-N,RM0135584,False
LMSP03030035,PI-Cer(d18:0/26:0(2OH)),,,,,,,,,,,,,,False
LMSP03030036,PI-Cer(t18:0/16:0(2OH)),,,,,,,,,,,,,,False
LMSP03030038,PI-Cer(t18:0/20:0(2OH)),,,,,,,,,,,,,,False
LMSP03030045,PI-Cer(t20:0/22:0(2OH)),,,,,,,,,,,,,,False
LMSP03030049,PI-Cer(d20:0/18:0(2OH)),,,,,,,,,,,,,,False
LMSP03030051,PI-Cer(d20:0/22:0(2OH)),,,,,,,,,,,,,,False
LMSL03000289,"PAT16(25:1(2E)(2Me,4Me[S],6Me[S])/22:1(2E)(2Me,4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S])/25:1(2E)(2Me,4Me[S],6Me[S]))",,,,,,,,,,,,,,False
LMSL03000305,"PAT16(25:1(2E)(2Me,4Me[S],6Me[S])/24:1(2E)(2Me,4Me[S],6Me[S])/24:1(2E)(2Me,4Me[S],6Me[S])/26:1(2E)(2Me,4Me[S],6Me[S]))",,,,,,,,,,,,,,False
LMPR0102070054,Diffusoside A,,,,,,,,,,,,,,False
LMST05020053,Gracilosulfate B,,,,,,,,,,,,,,False
LMST05020052,Gracilosulfate A,,,,,,,,,,,,,,False
LMST05020055,Gracilosulfate D,,,,,,,,,,,,,,False
LMSP03030014,PI-Cer(t18:0/20:0),,,,,,,,,,,,,,False
LMSP0505CG00,ClcNAc-Lex-5,,,,,,,,,,,,,,False
LMSP03030027,PI-Cer(d20:0/22:0),IPC 20:0;O2/22:0,C48H96NO11P,893.6721,Sphingolipids,Phosphosphingolipids,IPC,70699099,,,LMSP03030027,,LBXHERMJNLUPOE-LOTZUYGHSA-N,RM0056595,False
LMSP03030040,PI-Cer(t18:0/24:0(2OH)),,,,,,,,,,,,,,False
LMSP03030052,PI-Cer(d20:0/24:0(2OH)),,,,,,,,,,,,,,False
LMSP03030030,PI-Cer(d18:0/16:0(2OH)),,,,,,,,,,,,,,False
LMSL03000308,"PAT16(25:1(2E)(2Me,4Me[S],6Me[S])/24:1(2E)(2Me,4Me[S],6Me[S])/25:1(2E)(2Me,4Me[S],6Me[S])/24:1(2E)(2Me,4Me[S],6Me[S]))",,,,,,,,,,,,,,False
LMPK12111145,Scutellarein 7-methyl ether 6-glucoside,,,,,,,,,,,,,,False
LMFA08020164,"2,4-Undecadiene-8,10-diynoic acid isobutylamide",,,,,,,,,,,,,,False
LMFA08020376,N-(15-methyl-3-hydroxy-hexadecanoyl)-glycyl-seryl-ornithine,,,,,,,,,,,,,,False
LMPK12112051,"Quercetin 3,5-digalactoside",,,,,,,,,,,,,,False
LMPK12111742,"Kaempferol 3,4'-diglucoside",,,,,,,,,,,,,,False
LMPK12111437,Nevadensin 5-glucoside,,,,,,,,,,,,,,False
LMPK12111038,Luteolin 7-methyl ether 5-glucoside,,,,,,,,,,,,,,False
LMPK12111466,Pleurostimin 7-methyl ether 6-glucoside,,,,,,,,,,,,,,False
LMPK12111734,Nicotiflorin,Kaempferol 3-rutinoside,C27H30O15,594.1585,Polyketides,Flavonoids,Flavones and Flavonols,5318767,,HMDB0302426,LMPK12111734,,RTATXGUCZHCSNG-QHWHWDPRSA-N,RM0157519,False
LMPK12110877,"Tricetin 3',4'-dimethyl ether 7-glucuronide",,,,,,,,,,,,,,False
LMPK12111341,Isoscutellarein 8-glucuronide,,,,,,,,,,,,,,False
LMPK13010001,Orsellinic acid,,,,,,,,,,,,,,False
LMFA08020382,Alkamide 2,,,,,,,,,,,,,,False
LMFA05000384,Reclassified to LMFA07010336,,,,,,,,,,,,,,False
LMFA04000096,Protectin D1n-3 DPA,,,,,,,,,,,,,,False
LMFA02000384,Solacetal D,,,,,,,,,,,,,,False
LMPR01070445,Methoxyspheroidene,,,,,,,,,,,,,,False
LMPR01070446,"3,4,3',4',7',8'-Hexahydrospirilloxanthin",,,,,,,,,,,,,,False
LMPR01070447,"3,4,3',4',7',8',11',12'-Octahydrospirilloxanthin",,,,,,,,,,,,,,False
LMPR01070448,"3,4-Dehydrorhodopin glucoside",,,,,,,,,,,,,,False
LMST05050036,Fuscaside B,,,,,,,,,,,,,,False
LMPR0103690001,(-)-alpha-Cedrene,,,,,,,,,,,,,,False
LMPR0105050008,Ophiobolin T,,,,,,,,,,,,,,False
LMFA07040139,PsiAalpha,,,,,,,,,,,,,,False
LMPR0105050006,Ophiobolin Q,,,,,,,,,,,,,,False
LMPR0105050005,Ophiobolin P,,,,,,,,,,,,,,False
LMPR0105050004,Ophiobolin R,,,,,,,,,,,,,,False
LMPR0105050007,Ophiobolin S,,,,,,,,,,,,,,False
LMPR0105050002,Drophiobiolin A,,,,,,,,,,,,,,False
LMPR0105050003,Drophiobiolin B,,,,,,,,,,,,,,False
LMSP05010128,Crispin A,,,,,,,,,,,,,,False
LMSP00000027,Man-Cer(d16:0(15Me(3OH))/14:0(13Me)),,,,,,,,,,,,,,False
LMPR01070449,Demethylspheroidene glucoside,,,,,,,,,,,,,,False
LMPR01070450,Didemethylspirilloxanthin glucoside,,,,,,,,,,,,,,False
LMPR01070451,Deoxyoscillol 2-rhamnoside,,,,,,,,,,,,,,False
LMST05010008,"16alpha,17beta-Estriol 16-(beta-D-glucuronide)","16alpha,17beta-Estriol 16-(beta-D-glucuronide)",C24H32O9,464.2046,Sterol Lipids,Steroids,C18 Steroids,122281,766,HMDB0006766,LMST05010008,C05504,FQYGGFDZJFIDPU-JRSYHJKYSA-N,RM0138915,False
LMPR01070452,Rhodopinol glucoside,,,,,,,,,,,,,,False
LMPR01070453,Dihydroxylycopene glucoside,,,,,,,,,,,,,,False
LMPR01070454,Methoxyhydroxylycopene glucoside,,,,,,,,,,,,,,False
LMST05010020,"(23S)-23,25-dihydroxy-24-oxovitamin D3 23-(beta-glucuronide)",,,,,,,,,,,,,,False
LMST05010050,11alpha-hydroxyprogesterone 11-glucosiduronic acid,,,,,,,,,,,,,,False
LMPR01070460,"Lycopene 1,2-epoxide",,,,,,,,,,,,,,False
LMSP0601DI00,KDN GD1a 2,,,,,,,,,,,,,,False
LMSP01080072,Heptadeacsphing-6E-enine 4R-sufate,,,,,,,,,,,,,,False
LMGP01060047,PC(O-16:1(3Z)/0:0),,,,,,,,,,,,,,False
LMPK15030049,Adipostatin B,,,,,,,,,,,,,,False
